subject	rt	changetime	blocknum	success	onset	crossbar	duration	rt_deadline
S001	0.4429	12.306	0	1	5.000	vbar	2.290	1.500
S001	1.6191	15.577	0	0	10.035	vbar	1.088	1.500
S001	0.3646	18.009	0	1	14.054	vbar	1.516	1.500
S001	0.3492	20.922	0	1	17.924	vbar	1.991	1.500
S001	0.3363	23.921	0	1	21.984	vbar	1.052	1.500
S001	0.3296	28.056	0	1	25.990	hbar	1.072	1.500
S001	0.3645	32.091	0	1	29.418	vbar	1.746	1.500
S001	0.3483	35.898	0	1	33.679	vbar	1.321	1.500
S001	0.3891	46.998	1	1	45.000	vbar	1.057	1.500
S001	0.3388	50.845	1	1	48.861	hbar	1.105	1.500
S001	0.3335	54.547	1	1	52.307	vbar	1.389	1.500
S001	0.3960	58.403	1	1	56.367	hbar	1.097	1.500
S001	0.3614	62.994	1	1	60.775	vbar	1.317	1.500
S001	0.3213	67.731	1	1	64.957	hbar	1.902	1.500
S001	0.3501	72.159	1	1	69.755	vbar	1.516	1.500
S001	0.3627	75.905	1	1	73.546	hbar	1.454	1.500
S001	0.3766	88.399	2	1	85.000	vbar	2.489	1.500
S001	0.3877	91.942	2	1	89.514	vbar	1.506	1.500
S001	0.3469	96.484	2	1	94.240	vbar	1.358	1.500
S001	0.6044	100.685	2	1	97.639	vbar	1.892	1.500
S001	0.3452	104.955	2	1	101.658	vbar	2.417	1.500
S001	0.3652	108.873	2	1	106.563	hbar	1.410	1.500
S001	0.4658	112.426	2	1	110.110	hbar	1.329	1.500
S001	0.4919	116.022	2	1	113.953	vbar	1.047	1.500
S001	0.4980	127.304	3	1	125.000	vbar	1.267	1.500
S001	0.3097	131.628	3	1	128.281	hbar	2.486	1.500
S001	0.3509	135.360	3	1	133.101	vbar	1.360	1.500
S001	0.3225	139.724	3	1	136.937	hbar	1.952	1.500
S001	0.5351	144.109	3	1	141.843	vbar	1.191	1.500
S001	0.4399	147.239	3	1	145.111	hbar	1.154	1.500
S001	0.3546	151.177	3	1	148.956	vbar	1.326	1.500
S001	0.2982	155.852	3	1	152.794	vbar	2.206	1.500
