subject	rt	changetime	blocknum	success	onset	crossbar	duration	rt_deadline	trialnum
S001	0.3261	11.702	0	1	5.000	vbar	1.339	1.500	0
S001	0.3260	15.605	0	1	9.582	vbar	3.043	1.500	1
S001	0.4106	18.155	0	1	15.530	hbar	1.538	1.500	2
S001	0.3135	21.432	0	1	19.164	vbar	1.426	1.500	3
S001	0.3776	24.630	0	1	22.651	hbar	1.068	1.500	4
S001	0.2867	29.122	0	1	26.357	hbar	1.951	1.500	5
S001	0.3176	32.571	0	1	30.586	hbar	1.148	1.500	6
S001	0.3238	35.845	0	1	33.936	hbar	1.064	1.500	7
S001	1.0393	47.913	1	1	45.000	hbar	1.353	1.500	8
S001	0.3338	52.327	1	1	50.058	vbar	1.414	1.500	9
S001	0.3773	55.540	1	1	53.614	vbar	1.032	1.500	10
S001	0.3130	60.540	1	1	58.007	hbar	1.684	1.500	11
S001	0.3861	64.064	1	1	62.102	hbar	1.057	1.500	12
S001	0.2878	67.720	1	1	65.904	vbar	1.010	1.500	13
S001	0.2612	71.173	1	1	69.339	vbar	1.034	1.500	14
S001	0.2876	75.800	1	1	72.468	vbar	2.532	1.500	15
S001	0.3425	87.026	2	1	85.000	hbar	1.154	1.500	16
S001	0.7724	90.639	2	1	88.326	hbar	1.027	1.500	17
S001	0.2738	93.762	2	1	91.505	hbar	1.467	1.500	18
S001	0.2981	97.766	2	1	95.136	vbar	1.813	1.500	19
S001	0.2740	101.559	2	1	99.304	vbar	1.452	1.500	20
S001	0.3085	105.764	2	1	103.698	hbar	1.230	1.500	21
S001	0.3576	109.594	2	1	107.587	vbar	1.126	1.500	22
S001	0.3419	115.879	2	1	112.464	vbar	2.536	1.500	23
S001	0.3348	127.792	3	1	125.000	vbar	1.946	1.500	24
S001	0.2898	131.917	3	1	129.276	hbar	1.820	1.500	25
S001	0.3417	135.618	3	1	133.408	hbar	1.343	1.500	26
S001	0.2823	139.476	3	1	136.958	hbar	1.715	1.500	27
S001	0.3040	144.717	3	1	142.861	hbar	1.028	1.500	28
S001	0.5642	148.263	3	1	146.023	vbar	1.135	1.500	29
S001	0.6069	151.936	3	1	149.244	hbar	1.553	1.500	30
S001	0.4212	155.951	3	1	153.598	vbar	1.402	1.500	31
