subject	rt	changetime	blocknum	success	speed_success	acc_success	onset	crossbar	duration	rt_deadline	trialnum
S001	0.4169	11.505	0	0	1	0	5.000	hbar	1.844	1.500	0
S001	0.5142	14.108	0	0	1	0	9.890	hbar	1.650	1.500	1
S001	0.3668	16.525	0	0	1	0	14.772	vbar	1.182	1.500	2
S001	0.2768	20.599	0	0	1	0	18.291	hbar	1.798	1.500	3
S001	0.2766	25.466	0	0	1	0	23.205	vbar	1.742	1.500	4
S001	0.3921	28.668	0	1	1	1	27.111	vbar	1.024	1.500	5
S001	0.3435	32.233	0	1	1	1	30.412	vbar	1.288	1.500	6
S001	0.4766	35.534	0	0	1	0	33.849	hbar	1.151	1.500	7
S001	0.3767	47.452	1	0	1	0	45.000	vbar	1.927	1.500	8
S001	0.2933	51.252	1	0	1	0	49.271	hbar	1.453	1.500	9
S001	0.4065	55.256	1	0	1	0	53.554	hbar	1.180	1.500	10
S001	0.4100	59.236	1	1	1	1	56.984	vbar	1.725	1.500	11
S001	0.4765	63.504	1	1	1	1	61.220	vbar	1.762	1.500	12
S001	0.4064	66.858	1	0	1	0	65.311	hbar	1.028	1.500	13
S001	0.2600	70.804	1	0	1	0	68.970	vbar	1.314	1.500	14
S001	0.4766	75.522	1	0	1	0	72.802	vbar	2.198	1.500	15
S001	0.5932	86.806	2	0	1	0	85.000	hbar	1.283	1.500	16
S001	0.4252	89.991	2	0	1	0	88.330	vbar	1.136	1.500	17
S001	0.6063	93.344	2	1	1	1	91.760	vbar	1.061	1.500	18
S001	0.3933	97.490	2	0	1	0	95.337	hbar	1.632	1.500	19
S001	0.5930	101.374	2	1	1	1	99.510	hbar	1.348	1.500	20
S001	0.4397	104.845	2	1	1	1	103.015	hbar	1.306	1.500	21
S001	0.3431	110.875	2	1	1	1	107.413	hbar	2.942	1.500	22
S001	0.2563	115.529	2	0	1	0	112.439	hbar	2.561	1.500	23
S001	0.5252	126.695	3	1	1	1	125.000	hbar	1.174	1.500	24
S001	0.6564	130.014	3	1	1	1	128.175	hbar	1.310	1.500	25
S001	0.4100	134.878	3	0	1	0	131.940	hbar	2.402	1.500	26
S001	0.4421	138.613	3	1	1	1	136.712	vbar	1.381	1.500	27
S001	0.3599	144.646	3	0	1	0	140.297	vbar	3.825	1.500	28
S001	0.5100	148.429	3	0	1	0	146.670	vbar	1.246	1.500	29
S001	0.4070	151.866	3	1	1	1	150.201	vbar	1.140	1.500	30
S001	0.6102	155.513	3	0	1	0	153.554	vbar	1.446	1.500	31
